@name: Six Chambers
@levels: *
#######################################################################################1#######################################################################################
#                                                                                      .                                                                                      #
#  ######################################################   ###########################.###########################   ######################################################  #
#  #....................................................#   #.....................................................#   #....................................................#  #
#  #....................................................#   #.....................................................#   #....................................................#  #
#  #....................................................#   #.....................................................#   #....................................................#  #
#  #............................................L.......#   #.....................................................#   #....................................................#  #
#  #....................................................#   #.....................................................#   #................L...................................#  #
#  #........E..E............................E...........#   #...........E..E........................o.E...........#   #...........E............................E...........#  #
#  #....................................................#   #.....................................................#   #....................................................#  #
#  #....................................................#   #.....................................................#   #....................................................#  #
#  #.......................................................................................................................................................................#  #
#  #................o...................o...............................................E..............................................o...................................#  #
#  #.......................................................................................................................................................................#  #
#  #....................................................#   #.....................................................#   #....................................................#  #
#  #.....................L..............................#   #..............o......................................#   #...............................E....o...............#  #
#  #....................................................#   #.....................................................#   #....................................................#  #
#  #...........E..............E.........................#   #...........E..............E..........................#   #...........E..............E.........................#  #
#  #....................................................#   #.......................................L.............#   #....................................................#  #
#  #....................................................#   #.....................................................#   #...........................................L........#  #
#  #....................................................#   #.....................................................#   #....................................................#  #
#  #....................................................#   #.....................................................#   #....................................................#  #
#  #....................................................#   #.....................................................#   #....................................................#  #
#  #.#######################...##########################   ##########################...##########################   #########################...########################.#  #
#   .                       ...                                                       ...                                                      ...                        .   #
4....                       ...                                                       ...                                                      ...                        ....2
#  #.#######################...##########################   ##########################...##########################   #########################...########################.#  #
#  #....................................................#   #.....................................................#   #....................................................#  #
#  #....................................................#   #.....................................................#   #....................................................#  #
#  #....................................................#   #.....................................................#   #....................................................#  #
#  #....................................................#   #.....................................................#   #...........E........................................#  #
#  #....................................................#   #.....................................................#   #....................................................#  #
#  #........L..E............................E...........#   #...........E..L........................o.E...........#   #...........E............................E...........#  #
#  #....................................................#   #.....................................................#   #....................................................#  #
#  #....................................................#   #.....................................................#   #....................................................#  #
#  #....................................................#   #.....................................................#   #....................................................#  #
#  #................o...................o..............................................................................................o...................................#  #
#  #.......................................................................................................................................................................#  #
#  #....................................................................................E..................................................................................#  #
#  #....................................................#   #.....................................................#   #....................................................#  #
#  #..........................E.........................#   #..............o......................................#   #..........................L.........o...............#  #
#  #...........E..............E.........................#   #...........E..............E..........................#   #...........E..............E.........................#  #
#  #....................................................#   #.....................................................#   #....................................................#  #
#  #....................................................#   #.....................................................#   #....................................................#  #
#  #............................................L.......#   #.......................................L.............#   #...........................................L........#  #
#  #....................................................#   #.....................................................#   #....................................................#  #
#  #....................................................#   #.....................................................#   #....................................................#  #
#  ######################################################   ###########################.###########################   ######################################################  #
#                                                                                      .                                                                                      #
#######################################################################################3#######################################################################################
