@name: Crossroads Hall
@levels: *
#######################################################################################1#######################################################################################
#                                                                     #.................................#                                                                     #
#                                                                     #.................................#                                                                     #
#                                                                     #.................................#                                                                     #
#                                                                     #.......E.................L.......#                                                                     #
#                                                                     #.................................#                                                                     #
#                                                                     #.................................#                                                                     #
#                                                                     #.................................#                                                                     #
#                                                                     #.................................#                                                                     #
#                                                                     #.......E.................L.......#                                                                     #
#                                                                     #.................................#                                                                     #
#                                                                     #.................................#                                                                     #
#                                                                     #.................................#                                                                     #
#                                                                     #.................................#                                                                     #
#                                                                     #.......E.................L.......#                                                                     #
#                                                                     #.................................#                                                                     #
#                                                                     #.................................#                                                                     #
######################################################################...................................######################################################################
#.............................................................................................................................................................................#
#.............................................................................................................................................................................#
#..........................................................................L.......................L..........................................................................#
#.............................................................................................................................................................................#
#...........E.................E..............E..............E.................o.................o..................L..............L..............L..............L.............#
#.............................................................................................................................................................................#
#......................................................................................o......................................................................................#
4.............................................................................................................................................................................2
#.............................................................................................................................................................................#
#...........L.................L..............L..............L.................o.................o..................E..............E..............E..............E.............#
#.............................................................................................................................................................................#
#..........................................................................L.......................L..........................................................................#
#.............................................................................................................................................................................#
#.............................................................................................................................................................................#
######################################################################...................................######################################################################
#                                                                     #.................................#                                                                     #
#                                                                     #.................................#                                                                     #
#                                                                     #.......L.................E.......#                                                                     #
#                                                                     #.................................#                                                                     #
#                                                                     #.................................#                                                                     #
#                                                                     #.................................#                                                                     #
#                                                                     #.................................#                                                                     #
#                                                                     #.......L.................E.......#                                                                     #
#                                                                     #.................................#                                                                     #
#                                                                     #.................................#                                                                     #
#                                                                     #.................................#                                                                     #
#                                                                     #.................................#                                                                     #
#                                                                     #.......L.................E.......#                                                                     #
#                                                                     #.................................#                                                                     #
#                                                                     #.................................#                                                                     #
#                                                                     #.................................#                                                                     #
#######################################################################################3#######################################################################################
